crimes,temp,type
810,22,"MOTOR VEHICLE THEFT"
1619,22,NARCOTICS
2,22,NON-CRIMINAL
3,22,OBSCENITY
144,22,"OFFENSE INVOLVING CHILDREN"
1170,22,"OTHER OFFENSE"
99,22,PROSTITUTION
121,22,"PUBLIC PEACE VIOLATION"
642,22,ROBBERY
57,22,"SEX OFFENSE"
13,22,STALKING
3798,22,THEFT
173,22,"WEAPONS VIOLATION"
22,23,ARSON
807,23,ASSAULT
2493,23,BATTERY
846,23,BURGLARY
82,23,"CRIM SEXUAL ASSAULT"
1398,23,"CRIMINAL DAMAGE"
391,23,"CRIMINAL TRESPASS"
780,23,"DECEPTIVE PRACTICE"
1,23,GAMBLING
15,23,HOMICIDE
55,23,"INTERFERENCE WITH PUBLIC OFFICER"
7,23,INTIMIDATION
11,23,KIDNAPPING
19,23,"LIQUOR LAW VIOLATION"
736,23,"MOTOR VEHICLE THEFT"
1490,23,NARCOTICS
5,23,OBSCENITY
150,23,"OFFENSE INVOLVING CHILDREN"
1,23,"OTHER NARCOTIC VIOLATION"
950,23,"OTHER OFFENSE"
68,23,PROSTITUTION
2,23,"PUBLIC INDECENCY"
110,23,"PUBLIC PEACE VIOLATION"
514,23,ROBBERY
55,23,"SEX OFFENSE"
1,23,STALKING
2943,23,THEFT
175,23,"WEAPONS VIOLATION"
27,24,ARSON
1453,24,ASSAULT
3815,24,BATTERY
1383,24,BURGLARY
2,24,"CONCEALED CARRY LICENSE VIOLATION"
97,24,"CRIM SEXUAL ASSAULT"
2255,24,"CRIMINAL DAMAGE"
634,24,"CRIMINAL TRESPASS"
1418,24,"DECEPTIVE PRACTICE"
5,24,GAMBLING
34,24,HOMICIDE
2,24,"HUMAN TRAFFICKING"
93,24,"INTERFERENCE WITH PUBLIC OFFICER"
9,24,INTIMIDATION
22,24,KIDNAPPING
26,24,"LIQUOR LAW VIOLATION"
1195,24,"MOTOR VEHICLE THEFT"
2279,24,NARCOTICS
1,24,NON-CRIMINAL
3,24,OBSCENITY
218,24,"OFFENSE INVOLVING CHILDREN"
1643,24,"OTHER OFFENSE"
112,24,PROSTITUTION
174,24,"PUBLIC PEACE VIOLATION"
969,24,ROBBERY
73,24,"SEX OFFENSE"
17,24,STALKING
5293,24,THEFT
273,24,"WEAPONS VIOLATION"
44,25,ARSON
1665,25,ASSAULT
5161,25,BATTERY
1818,25,BURGLARY
2,25,"CONCEALED CARRY LICENSE VIOLATION"
140,25,"CRIM SEXUAL ASSAULT"
3040,25,"CRIMINAL DAMAGE"
765,25,"CRIMINAL TRESPASS"
1593,25,"DECEPTIVE PRACTICE"
9,25,GAMBLING
42,25,HOMICIDE
111,25,"INTERFERENCE WITH PUBLIC OFFICER"
18,25,INTIMIDATION
20,25,KIDNAPPING
52,25,"LIQUOR LAW VIOLATION"
1614,25,"MOTOR VEHICLE THEFT"
3241,25,NARCOTICS
1,25,NON-CRIMINAL
10,25,OBSCENITY
284,25,"OFFENSE INVOLVING CHILDREN"
1927,25,"OTHER OFFENSE"
189,25,PROSTITUTION
2,25,"PUBLIC INDECENCY"
202,25,"PUBLIC PEACE VIOLATION"
1170,25,ROBBERY
117,25,"SEX OFFENSE"
8,25,STALKING
6506,25,THEFT
370,25,"WEAPONS VIOLATION"
44,26,ARSON
1934,26,ASSAULT
5863,26,BATTERY
1949,26,BURGLARY
5,26,"CONCEALED CARRY LICENSE VIOLATION"
137,26,"CRIM SEXUAL ASSAULT"
3393,26,"CRIMINAL DAMAGE"
971,26,"CRIMINAL TRESPASS"
1787,26,"DECEPTIVE PRACTICE"
8,26,GAMBLING
42,26,HOMICIDE
135,26,"INTERFERENCE WITH PUBLIC OFFICER"
14,26,INTIMIDATION
27,26,KIDNAPPING
43,26,"LIQUOR LAW VIOLATION"
1727,26,"MOTOR VEHICLE THEFT"
3512,26,NARCOTICS
1,26,NON-CRIMINAL
6,26,OBSCENITY
264,26,"OFFENSE INVOLVING CHILDREN"
2089,26,"OTHER OFFENSE"
146,26,PROSTITUTION
2,26,"PUBLIC INDECENCY"
244,26,"PUBLIC PEACE VIOLATION"
1338,26,ROBBERY
112,26,"SEX OFFENSE"
20,26,STALKING
7387,26,THEFT
388,26,"WEAPONS VIOLATION"
28,27,ARSON
1352,27,ASSAULT
3772,27,BATTERY
1246,27,BURGLARY
2,27,"CONCEALED CARRY LICENSE VIOLATION"
111,27,"CRIM SEXUAL ASSAULT"
2199,27,"CRIMINAL DAMAGE"
590,27,"CRIMINAL TRESPASS"
