,:@computed_region_43wa_7qmu,:@computed_region_6mkv_f3dw,:@computed_region_awaf_s7ux,:@computed_region_bdys_3d7i,:@computed_region_d3ds_rm58,:@computed_region_d9mm_jgwp,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,arrest,beat,block,case_number,community_area,description,district,domestic,fbi_code,id,iucr,latitude,location,location_description,longitude,primary_type,updated_on,ward,x_coordinate,y_coordinate,year,Date,Time (CT)
153,5,21853,46,358,41,11,9,10,False,2432,065XX N NEWGARD AVE,JC327383,1,AUTOMOBILE,024,False,07,11740058,0910,42.00044702,"{'latitude': '42.00044702', 'longitude': '-87.66681259', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.66681259,MOTOR VEHICLE THEFT,2019-07-05T16:13:31.000,49,1165418,1943458,2019,2019-07-05,16:13:31
154,43,4460,30,9,221,10,47,51,False,0533,130XX S DREXEL AVE,JC326933,54,AGGRAVATED: OTHER DANG WEAPON,005,False,04B,11740832,0430,41.657910804,"{'latitude': '41.657910804', 'longitude': '-87.601086943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.601086943,BATTERY,2019-07-05T16:13:31.000,9,1184347,1818785,2019,2019-07-05,16:13:31
156,35,22538,9,188,222,19,24,39,False,0414,078XX S CONSTANCE AVE,JC326879,43,OTHER VEHICLE OFFENSE,004,False,26,11739623,5002,41.752720443,"{'latitude': '41.752720443', 'longitude': '-87.579674318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.579674318,OTHER OFFENSE,2019-07-05T16:13:31.000,8,1189896,1853383,2019,2019-07-05,16:13:31
157,41,22535,10,386,171,7,1,23,False,1421,031XX W MOFFAT ST,JC327271,22,SIMPLE,014,False,08A,11739901,0560,41.91469032,"{'latitude': '41.91469032', 'longitude': '-87.705739632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.705739632,ASSAULT,2019-07-05T16:13:31.000,1,1155066,1912128,2019,2019-07-05,16:13:31
158,11,21560,16,517,200,7,4,25,False,1424,021XX W LE MOYNE ST,JC326466,24,OVER $500,014,False,06,11739215,0810,41.908201931,"{'latitude': '41.908201931', 'longitude': '-87.680454639', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.680454639,THEFT,2019-07-05T16:13:31.000,2,1161966,1909815,2019,2019-07-05,16:13:31
159,36,4446,22,670,73,14,55,37,False,1831,005XX N WELLS ST,JC326433,8,FROM BUILDING,018,False,06,11739166,0890,41.891899799,"{'latitude': '41.891899799', 'longitude': '-87.634075722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESTAURANT,-87.634075722,THEFT,2019-07-05T16:13:31.000,42,1174639,1903974,2019,2019-07-05,16:13:31
160,31,21867,44,319,276,13,58,64,False,0823,063XX S KEDZIE AVE,JC328209,66,SIMPLE,008,False,08A,11740634,0560,41.777808515,"{'latitude': '41.777808515', 'longitude': '-87.703109124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CTA BUS,-87.703109124,ASSAULT,2019-07-05T16:13:31.000,23,1156148,1862254,2019,2019-07-05,16:13:31
161,36,21182,22,104,71,14,6,37,False,1833,008XX N MICHIGAN AVE,JC326516,8,CREDIT CARD FRAUD,018,False,11,11739311,1150,41.897895128,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEPARTMENT STORE,-87.624096605,DECEPTIVE PRACTICE,2019-07-05T16:13:31.000,2,1177338,1906181,2019,2019-07-05,16:13:31
163,24,21849,13,54,61,2,20,6,False,2031,050XX N WESTERN AVE,JC326391,4,DOMESTIC BATTERY SIMPLE,020,True,08B,11740069,0486,41.973390057,"{'latitude': '41.973390057', 'longitude': '-87.689063829', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE,-87.689063829,BATTERY,2019-07-05T16:13:31.000,40,1159444,1933552,2019,2019-07-05,16:13:31
164,15,4300,23,318,209,13,58,63,False,0833,047XX W MARQUETTE RD,JC326423,65,SIMPLE,008,False,08B,11739259,0460,41.771162505,"{'latitude': '41.771162505', 'longitude': '-87.739821929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PARK PROPERTY,-87.739821929,BATTERY,2019-07-05T16:13:31.000,13,1146151,1859761,2019,2019-07-05,16:13:31
165,44,22615,4,307,133,6,2,19,True,2515,020XX N LOCKWOOD AVE,JC326367,19,DOMESTIC BATTERY SIMPLE,025,True,08B,11739158,0486,41.917872286,"{'latitude': '41.917872286', 'longitude': '-87.758415722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE,-87.758415722,BATTERY,2019-07-05T16:13:31.000,36,1140721,1913187,2019,2019-07-05,16:13:31
166,47,21202,47,715,247,19,25,49,False,0432,104XX S AVENUE H,JC326347,52,SIMPLE,004,False,08B,11739358,0460,41.705520126,"{'latitude': '41.705520126', 'longitude': '-87.532867175', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE,-87.532867175,BATTERY,2019-07-05T16:13:31.000,10,1202828,1836299,2019,2019-07-05,16:13:31
