crimes,community_area,type
552,"Washington Height","WEAPONS VIOLATION"
32,"Washington Park",ARSON
2306,"Washington Park",ASSAULT
6975,"Washington Park",BATTERY
1791,"Washington Park",BURGLARY
130,"Washington Park","CRIM SEXUAL ASSAULT"
3446,"Washington Park","CRIMINAL DAMAGE"
845,"Washington Park","CRIMINAL TRESPASS"
737,"Washington Park","DECEPTIVE PRACTICE"
98,"Washington Park",GAMBLING
77,"Washington Park",HOMICIDE
2,"Washington Park","HUMAN TRAFFICKING"
104,"Washington Park","INTERFERENCE WITH PUBLIC OFFICER"
10,"Washington Park",INTIMIDATION
19,"Washington Park",KIDNAPPING
16,"Washington Park","LIQUOR LAW VIOLATION"
1327,"Washington Park","MOTOR VEHICLE THEFT"
2602,"Washington Park",NARCOTICS
7,"Washington Park",OBSCENITY
228,"Washington Park","OFFENSE INVOLVING CHILDREN"
1826,"Washington Park","OTHER OFFENSE"
220,"Washington Park",PROSTITUTION
1,"Washington Park","PUBLIC INDECENCY"
219,"Washington Park","PUBLIC PEACE VIOLATION"
1447,"Washington Park",ROBBERY
71,"Washington Park","SEX OFFENSE"
13,"Washington Park",STALKING
4391,"Washington Park",THEFT
497,"Washington Park","WEAPONS VIOLATION"
20,"West Elsdon",ARSON
548,"West Elsdon",ASSAULT
1420,"West Elsdon",BATTERY
1125,"West Elsdon",BURGLARY
36,"West Elsdon","CRIM SEXUAL ASSAULT"
1753,"West Elsdon","CRIMINAL DAMAGE"
212,"West Elsdon","CRIMINAL TRESPASS"
595,"West Elsdon","DECEPTIVE PRACTICE"
3,"West Elsdon",GAMBLING
16,"West Elsdon",HOMICIDE
19,"West Elsdon","INTERFERENCE WITH PUBLIC OFFICER"
3,"West Elsdon",INTIMIDATION
10,"West Elsdon",KIDNAPPING
17,"West Elsdon","LIQUOR LAW VIOLATION"
676,"West Elsdon","MOTOR VEHICLE THEFT"
497,"West Elsdon",NARCOTICS
5,"West Elsdon",OBSCENITY
82,"West Elsdon","OFFENSE INVOLVING CHILDREN"
684,"West Elsdon","OTHER OFFENSE"
1,"West Elsdon",PROSTITUTION
1,"West Elsdon","PUBLIC INDECENCY"
116,"West Elsdon","PUBLIC PEACE VIOLATION"
483,"West Elsdon",ROBBERY
56,"West Elsdon","SEX OFFENSE"
11,"West Elsdon",STALKING
2510,"West Elsdon",THEFT
94,"West Elsdon","WEAPONS VIOLATION"
166,"West Englewood",ARSON
5918,"West Englewood",ASSAULT
17851,"West Englewood",BATTERY
5185,"West Englewood",BURGLARY
24,"West Englewood","CONCEALED CARRY LICENSE VIOLATION"
386,"West Englewood","CRIM SEXUAL ASSAULT"
8506,"West Englewood","CRIMINAL DAMAGE"
1945,"West Englewood","CRIMINAL TRESPASS"
2021,"West Englewood","DECEPTIVE PRACTICE"
311,"West Englewood",GAMBLING
229,"West Englewood",HOMICIDE
3,"West Englewood","HUMAN TRAFFICKING"
534,"West Englewood","INTERFERENCE WITH PUBLIC OFFICER"
34,"West Englewood",INTIMIDATION
69,"West Englewood",KIDNAPPING
38,"West Englewood","LIQUOR LAW VIOLATION"
2665,"West Englewood","MOTOR VEHICLE THEFT"
9092,"West Englewood",NARCOTICS
2,"West Englewood",NON-CRIMINAL
8,"West Englewood",OBSCENITY
597,"West Englewood","OFFENSE INVOLVING CHILDREN"
4744,"West Englewood","OTHER OFFENSE"
537,"West Englewood",PROSTITUTION
753,"West Englewood","PUBLIC PEACE VIOLATION"
3339,"West Englewood",ROBBERY
203,"West Englewood","SEX OFFENSE"
30,"West Englewood",STALKING
11451,"West Englewood",THEFT
2142,"West Englewood","WEAPONS VIOLATION"
78,"West Garfield Park",ARSON
3213,"West Garfield Park",ASSAULT
10714,"West Garfield Park",BATTERY
1561,"West Garfield Park",BURGLARY
7,"West Garfield Park","CONCEALED CARRY LICENSE VIOLATION"
254,"West Garfield Park","CRIM SEXUAL ASSAULT"
4297,"West Garfield Park","CRIMINAL DAMAGE"
1070,"West Garfield Park","CRIMINAL TRESPASS"
2239,"West Garfield Park","DECEPTIVE PRACTICE"
178,"West Garfield Park",GAMBLING
174,"West Garfield Park",HOMICIDE
3,"West Garfield Park","HUMAN TRAFFICKING"
474,"West Garfield Park","INTERFERENCE WITH PUBLIC OFFICER"
19,"West Garfield Park",INTIMIDATION
28,"West Garfield Park",KIDNAPPING
62,"West Garfield Park","LIQUOR LAW VIOLATION"
1929,"West Garfield Park","MOTOR VEHICLE THEFT"
15497,"West Garfield Park",NARCOTICS
1,"West Garfield Park","NON - CRIMINAL"
4,"West Garfield Park",OBSCENITY
305,"West Garfield Park","OFFENSE INVOLVING CHILDREN"
1,"West Garfield Park","OTHER NARCOTIC VIOLATION"
2600,"West Garfield Park","OTHER OFFENSE"
1654,"West Garfield Park",PROSTITUTION
2,"West Garfield Park","PUBLIC INDECENCY"
413,"West Garfield Park","PUBLIC PEACE VIOLATION"
2763,"West Garfield Park",ROBBERY
108,"West Garfield Park","SEX OFFENSE"
13,"West Garfield Park",STALKING
6247,"West Garfield Park",THEFT
988,"West Garfield Park","WEAPONS VIOLATION"
51,"West Lawn",ARSON
1020,"West Lawn",ASSAULT
2671,"West Lawn",BATTERY
1761,"West Lawn",BURGLARY
75,"West Lawn","CRIM SEXUAL ASSAULT"
2984,"West Lawn","CRIMINAL DAMAGE"
294,"West Lawn","CRIMINAL TRESPASS"
950,"West Lawn","DECEPTIVE PRACTICE"
15,"West Lawn",HOMICIDE
28,"West Lawn","INTERFERENCE WITH PUBLIC OFFICER"
13,"West Lawn",INTIMIDATION
28,"West Lawn",KIDNAPPING
35,"West Lawn","LIQUOR LAW VIOLATION"
1091,"West Lawn","MOTOR VEHICLE THEFT"
745,"West Lawn",NARCOTICS
1,"West Lawn",NON-CRIMINAL
1,"West Lawn","NON-CRIMINAL (SUBJECT SPECIFIED)"
5,"West Lawn",OBSCENITY
246,"West Lawn","OFFENSE INVOLVING CHILDREN"
1235,"West Lawn","OTHER OFFENSE"
1,"West Lawn",PROSTITUTION
1,"West Lawn","PUBLIC INDECENCY"
115,"West Lawn","PUBLIC PEACE VIOLATION"
761,"West Lawn",ROBBERY
86,"West Lawn","SEX OFFENSE"
14,"West Lawn",STALKING
6105,"West Lawn",THEFT
122,"West Lawn","WEAPONS VIOLATION"
101,"West Pullman",ARSON
3579,"West Pullman",ASSAULT
9227,"West Pullman",BATTERY
3121,"West Pullman",BURGLARY
7,"West Pullman","CONCEALED CARRY LICENSE VIOLATION"
240,"West Pullman","CRIM SEXUAL ASSAULT"
5647,"West Pullman","CRIMINAL DAMAGE"
879,"West Pullman","CRIMINAL TRESPASS"
1403,"West Pullman","DECEPTIVE PRACTICE"
37,"West Pullman",GAMBLING
125,"West Pullman",HOMICIDE
284,"West Pullman","INTERFERENCE WITH PUBLIC OFFICER"
23,"West Pullman",INTIMIDATION
38,"West Pullman",KIDNAPPING
28,"West Pullman","LIQUOR LAW VIOLATION"
1974,"West Pullman","MOTOR VEHICLE THEFT"
3909,"West Pullman",NARCOTICS
2,"West Pullman",OBSCENITY
409,"West Pullman","OFFENSE INVOLVING CHILDREN"
3246,"West Pullman","OTHER OFFENSE"
267,"West Pullman",PROSTITUTION
1,"West Pullman","PUBLIC INDECENCY"
324,"West Pullman","PUBLIC PEACE VIOLATION"
1649,"West Pullman",ROBBERY
115,"West Pullman","SEX OFFENSE"
26,"West Pullman",STALKING
6068,"West Pullman",THEFT
1253,"West Pullman","WEAPONS VIOLATION"
41,"West Ridge",ARSON
2075,"West Ridge",ASSAULT
5807,"West Ridge",BATTERY
2702,"West Ridge",BURGLARY
2,"West Ridge","CONCEALED CARRY LICENSE VIOLATION"
149,"West Ridge","CRIM SEXUAL ASSAULT"
4750,"West Ridge","CRIMINAL DAMAGE"
807,"West Ridge","CRIMINAL TRESPASS"
1915,"West Ridge","DECEPTIVE PRACTICE"
11,"West Ridge",GAMBLING
31,"West Ridge",HOMICIDE
96,"West Ridge","INTERFERENCE WITH PUBLIC OFFICER"
19,"West Ridge",INTIMIDATION
28,"West Ridge",KIDNAPPING
67,"West Ridge","LIQUOR LAW VIOLATION"
1653,"West Ridge","MOTOR VEHICLE THEFT"
1581,"West Ridge",NARCOTICS
1,"West Ridge",NON-CRIMINAL
1,"West Ridge","NON-CRIMINAL (SUBJECT SPECIFIED)"
11,"West Ridge",OBSCENITY
302,"West Ridge","OFFENSE INVOLVING CHILDREN"
2416,"West Ridge","OTHER OFFENSE"
30,"West Ridge",PROSTITUTION
1,"West Ridge","PUBLIC INDECENCY"
209,"West Ridge","PUBLIC PEACE VIOLATION"
1221,"West Ridge",ROBBERY
160,"West Ridge","SEX OFFENSE"
25,"West Ridge",STALKING
8226,"West Ridge",THEFT
254,"West Ridge","WEAPONS VIOLATION"
76,"West Town",ARSON
3926,"West Town",ASSAULT
10253,"West Town",BATTERY
6394,"West Town",BURGLARY
2,"West Town","CONCEALED CARRY LICENSE VIOLATION"
304,"West Town","CRIM SEXUAL ASSAULT"
9567,"West Town","CRIMINAL DAMAGE"
1567,"West Town","CRIMINAL TRESPASS"
3817,"West Town","DECEPTIVE PRACTICE"
11,"West Town",GAMBLING
59,"West Town",HOMICIDE
115,"West Town","INTERFERENCE WITH PUBLIC OFFICER"
35,"West Town",INTIMIDATION
27,"West Town",KIDNAPPING
220,"West Town","LIQUOR LAW VIOLATION"
4352,"West Town","MOTOR VEHICLE THEFT"
2510,"West Town",NARCOTICS
1,"West Town","NON - CRIMINAL"
4,"West Town",NON-CRIMINAL
11,"West Town",OBSCENITY
317,"West Town","OFFENSE INVOLVING CHILDREN"
3023,"West Town","OTHER OFFENSE"
169,"West Town",PROSTITUTION
2,"West Town","PUBLIC INDECENCY"
352,"West Town","PUBLIC PEACE VIOLATION"
3136,"West Town",ROBBERY
261,"West Town","SEX OFFENSE"
53,"West Town",STALKING
28220,"West Town",THEFT
406,"West Town","WEAPONS VIOLATION"
50,Woodlawn,ARSON
3194,Woodlawn,ASSAULT
9029,Woodlawn,BATTERY
2885,Woodlawn,BURGLARY
4,Woodlawn,"CONCEALED CARRY LICENSE VIOLATION"
198,Woodlawn,"CRIM SEXUAL ASSAULT"
4606,Woodlawn,"CRIMINAL DAMAGE"
1378,Woodlawn,"CRIMINAL TRESPASS"
1288,Woodlawn,"DECEPTIVE PRACTICE"
106,Woodlawn,GAMBLING
100,Woodlawn,HOMICIDE
1,Woodlawn,"HUMAN TRAFFICKING"
240,Woodlawn,"INTERFERENCE WITH PUBLIC OFFICER"
28,Woodlawn,INTIMIDATION
42,Woodlawn,KIDNAPPING
27,Woodlawn,"LIQUOR LAW VIOLATION"
1311,Woodlawn,"MOTOR VEHICLE THEFT"
4284,Woodlawn,NARCOTICS
1,Woodlawn,NON-CRIMINAL
5,Woodlawn,OBSCENITY
410,Woodlawn,"OFFENSE INVOLVING CHILDREN"
3210,Woodlawn,"OTHER OFFENSE"
171,Woodlawn,PROSTITUTION
525,Woodlawn,"PUBLIC PEACE VIOLATION"
1819,Woodlawn,ROBBERY
152,Woodlawn,"SEX OFFENSE"
25,Woodlawn,STALKING
6291,Woodlawn,THEFT
780,Woodlawn,"WEAPONS VIOLATION"
