crimes,community_area,type
11,Clearing,KIDNAPPING
15,Clearing,"LIQUOR LAW VIOLATION"
375,Clearing,"MOTOR VEHICLE THEFT"
385,Clearing,NARCOTICS
1,Clearing,"NON - CRIMINAL"
5,Clearing,OBSCENITY
149,Clearing,"OFFENSE INVOLVING CHILDREN"
863,Clearing,"OTHER OFFENSE"
2,Clearing,PROSTITUTION
2,Clearing,"PUBLIC INDECENCY"
98,Clearing,"PUBLIC PEACE VIOLATION"
172,Clearing,ROBBERY
46,Clearing,"SEX OFFENSE"
7,Clearing,STALKING
1972,Clearing,THEFT
52,Clearing,"WEAPONS VIOLATION"
7,Douglas,ARSON
1931,Douglas,ASSAULT
5103,Douglas,BATTERY
634,Douglas,BURGLARY
1,Douglas,"CONCEALED CARRY LICENSE VIOLATION"
124,Douglas,"CRIM SEXUAL ASSAULT"
2232,Douglas,"CRIMINAL DAMAGE"
1160,Douglas,"CRIMINAL TRESPASS"
1362,Douglas,"DECEPTIVE PRACTICE"
27,Douglas,GAMBLING
26,Douglas,HOMICIDE
1,Douglas,"HUMAN TRAFFICKING"
37,Douglas,"INTERFERENCE WITH PUBLIC OFFICER"
13,Douglas,INTIMIDATION
17,Douglas,KIDNAPPING
6,Douglas,"LIQUOR LAW VIOLATION"
1066,Douglas,"MOTOR VEHICLE THEFT"
1448,Douglas,NARCOTICS
1,Douglas,"NON - CRIMINAL"
2,Douglas,NON-CRIMINAL
2,Douglas,OBSCENITY
152,Douglas,"OFFENSE INVOLVING CHILDREN"
1587,Douglas,"OTHER OFFENSE"
4,Douglas,PROSTITUTION
1,Douglas,"PUBLIC INDECENCY"
160,Douglas,"PUBLIC PEACE VIOLATION"
1173,Douglas,ROBBERY
80,Douglas,"SEX OFFENSE"
20,Douglas,STALKING
6344,Douglas,THEFT
192,Douglas,"WEAPONS VIOLATION"
31,Dunning,ARSON
1036,Dunning,ASSAULT
2699,Dunning,BATTERY
1602,Dunning,BURGLARY
57,Dunning,"CRIM SEXUAL ASSAULT"
2458,Dunning,"CRIMINAL DAMAGE"
395,Dunning,"CRIMINAL TRESPASS"
993,Dunning,"DECEPTIVE PRACTICE"
10,Dunning,GAMBLING
9,Dunning,HOMICIDE
33,Dunning,"INTERFERENCE WITH PUBLIC OFFICER"
8,Dunning,INTIMIDATION
24,Dunning,KIDNAPPING
25,Dunning,"LIQUOR LAW VIOLATION"
886,Dunning,"MOTOR VEHICLE THEFT"
584,Dunning,NARCOTICS
1,Dunning,NON-CRIMINAL
4,Dunning,OBSCENITY
138,Dunning,"OFFENSE INVOLVING CHILDREN"
1,Dunning,"OTHER NARCOTIC VIOLATION"
1447,Dunning,"OTHER OFFENSE"
5,Dunning,PROSTITUTION
73,Dunning,"PUBLIC PEACE VIOLATION"
285,Dunning,ROBBERY
78,Dunning,"SEX OFFENSE"
6,Dunning,STALKING
3323,Dunning,THEFT
68,Dunning,"WEAPONS VIOLATION"
74,"East Garfield Park",ARSON
3860,"East Garfield Park",ASSAULT
11285,"East Garfield Park",BATTERY
1749,"East Garfield Park",BURGLARY
7,"East Garfield Park","CONCEALED CARRY LICENSE VIOLATION"
225,"East Garfield Park","CRIM SEXUAL ASSAULT"
4412,"East Garfield Park","CRIMINAL DAMAGE"
1175,"East Garfield Park","CRIMINAL TRESPASS"
1519,"East Garfield Park","DECEPTIVE PRACTICE"
217,"East Garfield Park",GAMBLING
141,"East Garfield Park",HOMICIDE
313,"East Garfield Park","INTERFERENCE WITH PUBLIC OFFICER"
26,"East Garfield Park",INTIMIDATION
34,"East Garfield Park",KIDNAPPING
47,"East Garfield Park","LIQUOR LAW VIOLATION"
2202,"East Garfield Park","MOTOR VEHICLE THEFT"
11169,"East Garfield Park",NARCOTICS
1,"East Garfield Park","NON - CRIMINAL"
1,"East Garfield Park","NON-CRIMINAL (SUBJECT SPECIFIED)"
10,"East Garfield Park",OBSCENITY
319,"East Garfield Park","OFFENSE INVOLVING CHILDREN"
2883,"East Garfield Park","OTHER OFFENSE"
424,"East Garfield Park",PROSTITUTION
438,"East Garfield Park","PUBLIC PEACE VIOLATION"
2489,"East Garfield Park",ROBBERY
129,"East Garfield Park","SEX OFFENSE"
34,"East Garfield Park",STALKING
6849,"East Garfield Park",THEFT
883,"East Garfield Park","WEAPONS VIOLATION"
29,"East Side",ARSON
1109,"East Side",ASSAULT
2630,"East Side",BATTERY
925,"East Side",BURGLARY
56,"East Side","CRIM SEXUAL ASSAULT"
2402,"East Side","CRIMINAL DAMAGE"
242,"East Side","CRIMINAL TRESPASS"
475,"East Side","DECEPTIVE PRACTICE"
18,"East Side",HOMICIDE
1,"East Side","HUMAN TRAFFICKING"
46,"East Side","INTERFERENCE WITH PUBLIC OFFICER"
10,"East Side",INTIMIDATION
26,"East Side",KIDNAPPING
25,"East Side","LIQUOR LAW VIOLATION"
583,"East Side","MOTOR VEHICLE THEFT"
972,"East Side",NARCOTICS
1,"East Side",OBSCENITY
225,"East Side","OFFENSE INVOLVING CHILDREN"
965,"East Side","OTHER OFFENSE"
200,"East Side","PUBLIC PEACE VIOLATION"
227,"East Side",ROBBERY
63,"East Side","SEX OFFENSE"
7,"East Side",STALKING
2020,"East Side",THEFT
214,"East Side","WEAPONS VIOLATION"
24,Edgewater,ARSON
1484,Edgewater,ASSAULT
4367,Edgewater,BATTERY
1542,Edgewater,BURGLARY
1,Edgewater,"CONCEALED CARRY LICENSE VIOLATION"
162,Edgewater,"CRIM SEXUAL ASSAULT"
2537,Edgewater,"CRIMINAL DAMAGE"
808,Edgewater,"CRIMINAL TRESPASS"
1883,Edgewater,"DECEPTIVE PRACTICE"
6,Edgewater,GAMBLING
23,Edgewater,HOMICIDE
41,Edgewater,"INTERFERENCE WITH PUBLIC OFFICER"
9,Edgewater,INTIMIDATION
2,Edgewater,KIDNAPPING
50,Edgewater,"LIQUOR LAW VIOLATION"
973,Edgewater,"MOTOR VEHICLE THEFT"
947,Edgewater,NARCOTICS
1,Edgewater,NON-CRIMINAL
